timestamp_ms,seq,altitude_m,temp_c,pressure_hpa,lat,lon,gps_alt_m,gps_fix,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,battery_v,mission_state,payload_sep,parachute,descent_rate_mps,error_code
1769000000000,0,0.0,25.0,1013.2,13.082640,80.270660,0.0,1,0.020,-0.010,1.000,-1.33,-1.50,-1.50,3.90,0,0,0,0.00,0000
1769000000200,1,0.0,25.0,1013.2,13.082660,80.270680,0.0,1,0.020,-0.010,1.000,-1.00,-1.00,-0.75,3.90,0,0,0,0.00,0000
1769000000400,2,0.0,25.0,1013.2,13.082680,80.270700,0.0,1,0.020,-0.010,1.000,-0.67,-0.50,0.00,3.90,0,0,0,0.00,0000
1769000000600,3,0.0,25.0,1013.2,13.082700,80.270720,0.0,1,0.020,-0.010,1.000,-0.33,0.00,0.75,3.90,0,0,0,0.00,0000
1769000000800,4,0.0,25.0,1013.2,13.082720,80.270740,0.0,1,0.020,-0.010,1.000,0.00,0.50,-1.50,3.90,0,0,0,0.00,0000
1769000001000,5,0.0,25.0,1013.2,13.082740,80.270660,0.0,1,0.020,-0.010,1.000,0.33,1.00,-0.75,3.90,0,0,0,0.00,0000
1769000001200,6,0.0,25.0,1013.2,13.082760,80.270680,0.0,1,0.020,-0.010,1.000,0.67,-1.50,0.00,3.90,0,0,0,0.00,0000
1769000001400,7,0.0,25.0,1013.2,13.082640,80.270700,0.0,1,0.020,-0.010,1.000,1.00,-1.00,0.75,3.90,0,0,0,0.00,0000
1769000001599,8,0.0,25.0,1013.2,13.082660,80.270720,0.0,1,0.020,-0.010,1.000,1.33,-0.50,-1.50,3.90,0,0,0,0.00,0000
1769000001799,9,0.0,25.0,1013.2,13.082680,80.270740,0.0,1,0.020,-0.010,1.000,-1.33,0.00,-0.75,3.90,0,0,0,0.00,0000
1769000001999,10,0.0,25.0,1013.2,13.082700,80.270660,0.0,1,0.020,-0.010,1.000,-1.00,0.50,0.00,3.90,0,0,0,0.00,0000
